Capital,Cca3,Continent,Country,Territory,Year,2022Population,ConsumptionValue,Rank
Singapore,SGP,Asia,Singapore,Singapore,2021,5975689,140,113
Singapore,SGP,Asia,Singapore,Singapore,2022,5975689,130,113
Nairobi,KEN,Africa,Kenya,Kenya,2018,54027487,50,27
Nairobi,KEN,Africa,Kenya,Kenya,2019,54027487,60,27
Nairobi,KEN,Africa,Kenya,Kenya,2020,54027487,80,27
Nairobi,KEN,Africa,Kenya,Kenya,2021,54027487,100,27
Nairobi,KEN,Africa,Kenya,Kenya,2022,54027487,130,27
Paris,FRA,Europe,France,France,2018,64626628,90,23
Paris,FRA,Europe,France,France,2019,64626628,80,23
Paris,FRA,Europe,France,France,2020,64626628,90,23
Paris,FRA,Europe,France,France,2021,64626628,100,23
Paris,FRA,Europe,France,France,2022,64626628,110,23
Wellington,NZL,Oceania,New Zealand,New Zealand,2018,5185288,80,123
Wellington,NZL,Oceania,New Zealand,New Zealand,2019,5185288,90,123
Wellington,NZL,Oceania,New Zealand,New Zealand,2020,5185288,90,123
Wellington,NZL,Oceania,New Zealand,New Zealand,2021,5185288,90,123
Wellington,NZL,Oceania,New Zealand,New Zealand,2022,5185288,100,123
Madrid,ESP,Europe,Spain,Spain,2018,47558630,70,30
Madrid,ESP,Europe,Spain,Spain,2019,47558630,70,30
Madrid,ESP,Europe,Spain,Spain,2020,47558630,80,30
Madrid,ESP,Europe,Spain,Spain,2021,47558630,90,30
Madrid,ESP,Europe,Spain,Spain,2022,47558630,90,30
Prague,CZE,Europe,Czech Republic,Czech Republic,2018,10493986,60,88
Prague,CZE,Europe,Czech Republic,Czech Republic,2019,10493986,70,88
Prague,CZE,Europe,Czech Republic,Czech Republic,2020,10493986,70,88
Prague,CZE,Europe,Czech Republic,Czech Republic,2021,10493986,70,88
Prague,CZE,Europe,Czech Republic,Czech Republic,2022,10493986,70,88
Tehran,IRN,Asia,Iran,Iran,2018,88550570,50,17
Tehran,IRN,Asia,Iran,Iran,2019,88550570,50,17
Tehran,IRN,Asia,Iran,Iran,2020,88550570,60,17
Tehran,IRN,Asia,Iran,Iran,2021,88550570,60,17
Tehran,IRN,Asia,Iran,Iran,2022,88550570,70,17
Stockholm,SWE,Europe,Sweden,Sweden,2018,10549347,40,87
Stockholm,SWE,Europe,Sweden,Sweden,2019,10549347,50,87
Stockholm,SWE,Europe,Sweden,Sweden,2020,10549347,60,87
Stockholm,SWE,Europe,Sweden,Sweden,2021,10549347,60,87
Stockholm,SWE,Europe,Sweden,Sweden,2022,10549347,60,87
Amsterdam,NLD,Europe,Netherlands,Netherlands,2018,17564014,50,71
Amsterdam,NLD,Europe,Netherlands,Netherlands,2019,17564014,50,71
Amsterdam,NLD,Europe,Netherlands,Netherlands,2020,17564014,50,71
Amsterdam,NLD,Europe,Netherlands,Netherlands,2021,17564014,50,71
Amsterdam,NLD,Europe,Netherlands,Netherlands,2022,17564014,60,71
Santiago,CHL,South America,Chile,Chile,2018,19603733,30,65
Santiago,CHL,South America,Chile,Chile,2019,19603733,30,65
Santiago,CHL,South America,Chile,Chile,2020,19603733,20,65
Santiago,CHL,South America,Chile,Chile,2021,19603733,50,65
Santiago,CHL,South America,Chile,Chile,2022,19603733,60,65
Belgrade,SRB,Europe,Serbia,Serbia,2018,7221365,0,105
Belgrade,SRB,Europe,Serbia,Serbia,2019,7221365,0,105
Belgrade,SRB,Europe,Serbia,Serbia,2020,7221365,0,105
Belgrade,SRB,Europe,Serbia,Serbia,2021,7221365,50,105
Belgrade,SRB,Europe,Serbia,Serbia,2022,7221365,50,105
Bogota,COL,South America,Colombia,Colombia,2018,51874024,20,28
Bogota,COL,South America,Colombia,Colombia,2019,51874024,20,28
Bogota,COL,South America,Colombia,Colombia,2020,51874024,20,28
Bogota,COL,South America,Colombia,Colombia,2021,51874024,20,28
Bogota,COL,South America,Colombia,Colombia,2022,51874024,50,28
Rome,ITA,Europe,Italy,Italy,2018,59037474,20,25
Rome,ITA,Europe,Italy,Italy,2019,59037474,20,25
Rome,ITA,Europe,Italy,Italy,2020,59037474,30,25
Rome,ITA,Europe,Italy,Italy,2021,59037474,40,25
Rome,ITA,Europe,Italy,Italy,2022,59037474,40,25
Budapest,HUN,Europe,Hungary,Hungary,2018,9967308,30,94
Budapest,HUN,Europe,Hungary,Hungary,2019,9967308,40,94
Budapest,HUN,Europe,Hungary,Hungary,2020,9967308,40,94
Budapest,HUN,Europe,Hungary,Hungary,2021,9967308,40,94
Budapest,HUN,Europe,Hungary,Hungary,2022,9967308,40,94
Brussels,BEL,Europe,Belgium,Belgium,2018,11655930,10,81
Brussels,BEL,Europe,Belgium,Belgium,2019,11655930,20,81
Brussels,BEL,Europe,Belgium,Belgium,2020,11655930,20,81
Brussels,BEL,Europe,Belgium,Belgium,2021,11655930,20,81
Brussels,BEL,Europe,Belgium,Belgium,2022,11655930,20,81
Copenhagen,DNK,Europe,Denmark,Denmark,2018,5882261,20,115
Copenhagen,DNK,Europe,Denmark,Denmark,2019,5882261,20,115
Copenhagen,DNK,Europe,Denmark,Denmark,2020,5882261,10,115
Copenhagen,DNK,Europe,Denmark,Denmark,2021,5882261,10,115
Copenhagen,DNK,Europe,Denmark,Denmark,2022,5882261,20,115
Helsinki,FIN,Europe,Finland,Finland,2018,5540745,10,118
Helsinki,FIN,Europe,Finland,Finland,2019,5540745,20,118
Helsinki,FIN,Europe,Finland,Finland,2020,5540745,20,118
Helsinki,FIN,Europe,Finland,Finland,2021,5540745,20,118
Helsinki,FIN,Europe,Finland,Finland,2022,5540745,20,118
Bern,CHE,Europe,Switzerland,Switzerland,2018,8740472,10,101
Bern,CHE,Europe,Switzerland,Switzerland,2019,8740472,10,101
Bern,CHE,Europe,Switzerland,Switzerland,2020,8740472,10,101
Bern,CHE,Europe,Switzerland,Switzerland,2021,8740472,10,101
Bern,CHE,Europe,Switzerland,Switzerland,2022,8740472,20,101
Buenos Aires,ARG,South America,Argentina,Argentina,2018,45510318,10,33
Buenos Aires,ARG,South America,Argentina,Argentina,2019,45510318,10,33
Buenos Aires,ARG,South America,Argentina,Argentina,2020,45510318,0,33
Buenos Aires,ARG,South America,Argentina,Argentina,2021,45510318,20,33
Buenos Aires,ARG,South America,Argentina,Argentina,2022,45510318,10,33
San Jos̩,CRI,North America,Costa Rica,Costa Rica,2018,5180829,10,124
San Jos̩,CRI,North America,Costa Rica,Costa Rica,2019,5180829,10,124
San Jos̩,CRI,North America,Costa Rica,Costa Rica,2020,5180829,10,124
San Jos̩,CRI,North America,Costa Rica,Costa Rica,2021,5180829,20,124
San Jos̩,CRI,North America,Costa Rica,Costa Rica,2022,5180829,10,124
Kiev,UKR,Europe,Ukraine,Ukraine,2018,39701739,320,38
Kiev,UKR,Europe,Ukraine,Ukraine,2019,39701739,340,38
Kiev,UKR,Europe,Ukraine,Ukraine,2020,39701739,320,38
Kiev,UKR,Europe,Ukraine,Ukraine,2021,39701739,350,38
Kiev,UKR,Europe,Ukraine,Ukraine,2022,39701739,0,38
